BldgArea,BldgDepth,BuiltFAR,CommFAR,FacilFAR,Lot,LotArea,LotDepth,NumBldgs,NumFloors,OfficeArea,ResArea,ResidFAR,RetailArea,Complaint Type
2560.0,55.0,1.02,,4.8,97,2500.0,100.0,1.0,2.0,,2560.0,2.43,,1
3600.0,55.0,1.25,,2.0,115,2870.0,100.0,1.0,3.0,,3600.0,0.9,,0
1330.0,21.0,0.27,,2.0,12,5000.0,100.0,2.0,2.5,,1330.0,0.9,,0
2370.0,35.0,0.95,,2.0,21,2500.0,100.0,1.0,2.0,,1500.0,0.9,,0
1328.0,28.0,0.53,,2.0,27,2525.0,100.0,2.0,2.0,,1328.0,0.9,,0
3100.0,50.0,1.81,,4.8,40,1716.0,78.0,1.0,3.0,,3100.0,2.43,,0
3174.0,46.0,1.38,,4.8,194,2300.0,100.0,1.0,3.0,,3174.0,3.44,,0
1680.0,40.0,0.45,,1.0,42,3700.0,100.0,1.0,1.75,,1680.0,0.6,,0
2233.0,43.0,0.8,,2.0,52,2790.0,93.0,1.0,2.5,,1608.0,0.9,,1
1942.0,38.42,0.73,,1.0,483,2650.0,106.0,1.0,3.0,,1942.0,0.6,,0
1574.0,53.0,1.32,1.0,2.4,48,1196.0,68.33,1.0,2.0,,1574.0,,,0
,,,,2.0,22,5210.0,109.42,,,,,0.9,,1
1885.0,37.0,0.54,,2.0,4,3470.0,153.0,1.0,2.0,,1332.0,0.9,,0
2350.0,47.33,0.59,,1.0,26,4000.0,100.0,1.0,2.0,,1880.0,0.6,,0
2520.0,60.0,1.12,,4.8,31,2250.0,100.0,1.0,2.0,,2520.0,3.44,,0
1920.0,44.0,0.66,,2.0,40,2900.0,100.0,1.0,1.0,,1056.0,0.9,,0
15000.0,89.0,3.46,,4.8,30,4333.0,100.0,1.0,4.0,,13700.0,3.44,1300.0,0
2160.0,34.0,0.85,,4.8,66,2534.0,92.42,2.0,2.0,,1360.0,2.43,,0
2636.0,22.5,1.51,,2.0,1,1751.0,32.42,1.0,3.0,,2636.0,2.0,,0
3024.0,48.0,1.27,,2.0,49,2375.0,95.0,1.0,2.0,,2016.0,1.1,,0
