BldgArea,BldgDepth,BuiltFAR,CommFAR,FacilFAR,Lot,LotArea,LotDepth,NumBldgs,NumFloors,OfficeArea,ResArea,ResidFAR,RetailArea,Complaint Type
1260.0,35.0,0.7,,1.0,51,1800.0,100.0,1.0,2.0,,1260.0,0.6,,0
642.0,30.0,0.18,,1.0,227,3525.0,141.0,1.0,1.0,,642.0,0.6,,0
30240.0,53.0,5.8,,4.8,62,5211.0,53.98,1.0,6.0,,27240.0,3.44,3000.0,0
1926.0,36.0,0.82,,2.0,4,2342.0,100.0,1.0,2.0,,1368.0,0.9,,0
2450.0,30.0,0.19,1.0,2.4,13,13078.0,249.11,1.0,1.0,,,,2450.0,0
3084.0,52.0,1.2,,2.0,66,2575.0,103.0,1.0,2.0,,2056.0,1.25,,0
1689.0,45.0,0.54,,2.0,47,3117.0,100.0,1.0,1.0,,924.0,0.9,,0
972.0,54.0,0.39,,2.0,1,2500.0,100.0,2.0,1.0,,972.0,1.1,,0
1948.0,31.0,0.68,,2.0,26,2850.0,95.0,1.0,2.5,,1948.0,1.25,,0
27163.0,,6.47,,6.5,80,4198.0,93.32,1.0,9.0,,27163.0,6.02,,0
2604.0,62.0,1.06,,4.8,25,2467.0,100.0,1.0,2.0,,2604.0,2.43,,0
1813.0,35.0,1.01,,2.0,114,1800.0,100.0,1.0,2.0,,1260.0,0.9,,0
3105.0,38.0,0.62,,4.8,7,5000.0,100.0,2.0,2.75,,3105.0,2.43,,0
1449.0,28.0,0.61,,2.0,11,2375.0,95.0,1.0,2.5,,1449.0,1.25,,0
12250.0,50.0,1.22,,4.8,5,10010.0,100.0,1.0,2.0,,,2.43,12250.0,0
3020.0,68.0,1.21,,2.0,15,2500.0,100.0,1.0,2.0,,3020.0,1.25,,0
1860.0,36.0,0.74,,2.0,31,2500.0,100.0,1.0,2.0,,1440.0,0.9,,0
1320.0,35.0,0.5,,2.0,6,2625.0,80.67,2.0,2.0,,1320.0,0.9,,0
1344.0,65.0,0.29,,2.0,148,4600.0,100.0,1.0,2.0,,1344.0,1.25,,0
792.0,44.0,0.36,,1.0,48,2219.0,88.75,2.0,1.0,,792.0,0.6,,0
3750.0,36.0,0.55,,1.0,2517,6864.0,95.0,1.0,2.0,,2956.0,0.5,,0
